"date","precipitation_sum","rain_sum","showers_sum"
"2025-02-12 08:15:02.836724+01","0.5","0","0.5"
"2025-02-13 08:15:02.836724+01","0","0","0"
"2025-02-13 08:15:02.697556+01","0","0","0"
"2025-02-14 08:15:02.697556+01","1.1","0","1.1"
"2025-02-14 08:15:02.946211+01","1.1","0","1.1"
"2025-02-15 08:15:02.946211+01","13","0.8","12.1"
"2025-02-15 08:15:03.181736+01","13","0.8","12.1"
"2025-02-16 08:15:03.181736+01","3.4","0","3.4"
"2025-02-16 08:33:45.697748+01","3.4","0","3.4"
"2025-02-17 08:33:45.697748+01","0","0","0"
"2025-02-17 08:15:02.766801+01","0","0","0"
"2025-02-18 08:15:02.766801+01","0.2","0","0.2"
"2025-02-18 08:15:02.564962+01","0.2","0","0.2"
"2025-02-19 08:15:02.564962+01","0","0","0"
"2025-02-19 08:15:02.72107+01","0","0","0"
"2025-02-20 08:15:02.72107+01","1.7","0","1.7"
"2025-02-20 08:15:02.65877+01","1.7","0","1.7"
"2025-02-21 08:15:02.65877+01","0.4","0","0.4"
"2025-02-21 08:15:03.742628+01","0.4","0","0.4"
"2025-02-22 08:15:03.742628+01","0","0","0"
"2025-02-22 08:15:02.966963+01","0","0","0"
"2025-02-23 08:15:02.966963+01","0","0","0"
"2025-02-23 08:15:02.840114+01","0","0","0"
"2025-02-24 08:15:02.840114+01","0.2","0","0.2"
"2025-02-24 08:15:02.633564+01","0.2","0","0.2"
"2025-02-25 08:15:02.633564+01","0.6","0","0.6"
"2025-02-25 08:15:02.616011+01","0.6","0","0.6"
"2025-02-26 08:15:02.616011+01","5.2","0.3","4.8"
"2025-02-26 08:15:02.513818+01","5.2","0.3","4.8"
"2025-02-27 08:15:02.513818+01","3.4","0.1","3.3"
"2025-02-27 08:15:02.282978+01","3.4","0.1","3.3"
"2025-02-28 08:15:02.282978+01","0","0","0"
"2025-02-28 08:15:03.048283+01","0","0","0"
"2025-03-01 08:15:03.048283+01","0","0","0"
"2025-03-01 08:15:02.847453+01","0","0","0"
"2025-03-02 08:15:02.847453+01","0.1","0","0.1"
"2025-03-02 08:15:02.869472+01","0.1","0","0.1"
"2025-03-03 08:15:02.869472+01","0","0","0"
"2025-03-03 08:15:02.905839+01","0","0","0"
"2025-03-04 08:15:02.905839+01","1.4","0","1.4"
"2025-03-04 08:15:03.008689+01","1.4","0","1.4"
"2025-03-05 08:15:03.008689+01","0","0","0"
"2025-03-05 08:15:02.891297+01","0","0","0"
"2025-03-06 08:15:02.891297+01","0.6","0.4","0.2"
"2025-03-06 08:15:02.841023+01","0.6","0.4","0.2"
"2025-03-07 08:15:02.841023+01","13.6","9.2","4.3"
"2025-03-07 08:15:02.838901+01","13.6","9.2","4.3"
"2025-03-08 08:15:02.838901+01","0","0","0"
"2025-03-08 08:15:02.759251+01","0","0","0"
"2025-03-09 08:15:02.759251+01","0","0","0"
"2025-03-09 08:15:02.6445+01","0","0","0"
"2025-03-10 08:15:02.6445+01","0","0","0"
"2025-03-10 08:15:02.619715+01","0","0","0"
"2025-03-11 08:15:02.619715+01","0","0","0"
"2025-03-11 08:15:02.707999+01","0","0","0"
"2025-03-12 08:15:02.707999+01","0","0","0"
"2025-03-12 08:15:02.61444+01","0","0","0"
"2025-03-13 08:15:02.61444+01","0","0","0"
"2025-03-13 08:15:03.588786+01","0","0","0"
"2025-03-14 08:15:03.588786+01","0","0","0"
"2025-03-14 08:15:02.42065+01","0","0","0"
"2025-03-15 08:15:02.42065+01","0","0","0"
"2025-03-15 08:15:03.156097+01","0","0","0"
"2025-03-16 08:15:03.156097+01","0","0","0"
"2025-03-16 08:15:03.334747+01","0","0","0"
"2025-03-17 08:15:03.334747+01","0","0","0"
"2025-03-17 08:15:03.148811+01","0","0","0"
"2025-03-18 08:15:03.148811+01","0","0","0"
"2025-03-18 08:15:03.103223+01","0","0","0"
"2025-03-19 08:15:03.103223+01","0","0","0"
"2025-03-19 08:15:03.152697+01","0","0","0"
"2025-03-20 08:15:03.152697+01","0","0","0"
"2025-03-20 08:15:03.385076+01","0","0","0"
"2025-03-21 08:15:03.385076+01","0","0","0"
"2025-03-21 08:15:02.408825+01","0","0","0"
"2025-03-22 08:15:02.408825+01","0","0","0"
"2025-03-22 08:15:03.520609+01","0","0","0"
"2025-03-23 08:15:03.520609+01","0.1","0.1","0"
"2025-03-23 08:15:02.489136+01","0.1","0.1","0"
"2025-03-24 08:15:02.489136+01","0.4","0.2","0.2"
"2025-03-24 08:15:03.281254+01","0.4","0.2","0.2"
